Laptop Name,Laptop Weight,Ram Size,Hard Drive Size,Processor Speed,Processor Type,Screen Size,Processor Brand,Operating System,Memory Technology,Price
HP,1.59,4,1,2.10,Core i3,14,Intel,Windows 10 Home,DDR4,49269.0
HP,1.59,8,1024,3.90,Core i5,14,Intel,Windows 10 Home,DDR4,39990.0
HP,2.04,8,1024,3.40,Core i5 8250U,15.6,Intel,DOS,DDR4,43990.0
HP,1.77,8,1024,1.60,Core i5,15.6,Intel,Windows 10 Home,DDR4,49989.0
HP,1.47,4,1024,2.30,Core i3 7100U,14,Intel,Windows 10,DDR4,35770.0
HP,2.04,8,1024,2.30,Core i3 7100U,15.6,Intel,Windows 10,DDR4,37982.0
HP,1.39,4,1,4,Core i3 8130U,11.6,Intel,Windows 10 Home,DDR4,38990.0
HP,1.59,4,1,2.20,Core i3,14,Intel,Windows 10 Home,DDR4,37490.0
HP,1.77,8,1024,1.60,Core i5,15.6,Intel,Windows 10,DDR4,41990.0
HP,1.59,4,1024,2.10,Core i3,14,Intel,Windows 10 Home,DDR4,53990.0
HP,2.04,8,1024,2.30,Core i3,15.6,Intel,DOS,DDR4,38200.0
HP,1.54,8,1,1.6,Core i5,14,Intel,Windows 10,DDR4,51990.0
HP,1.59,4,1024,2.20,Core i3,14,Intel,Windows 10 Home,DDR4,56999.0
HP,2.19,4,1,2,Core i3-5005U,15.6,Intel,Windows 10 Home,DDR3,36665.0
HP,2.04,8,1,3.10,Core i5 7200U,15.6,Intel,Windows 10 Home,DDR4,35692.0
HP,2.17,4,1024,2.3,Core i5,15.6,Intel,Windows 10 Home,DDR4,58990.0
HP,2.19,8,1,2.3,Core i5 6200U,15.6,Intel,Windows 10 Home,DDR4,47267.0
HP,1.59,8,1,1.8,Core i7,14,Intel,Windows 10 Home,DDR4,58392.0
HP,2.04,4,1024,2.5,Core i5,15.6,Intel,Windows 10 Home,DDR4,53978.0
HP,1.85,8,1024,3.90,Core i5,15.6,Intel,Windows 10,DDR4,60350.0
HP,2.1,4,1,2.5,Core i5,15.6,Intel,Windows 10 Home,DDR4,35990.0
HP,2.04,8,1,3.40,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,43990.0
HP,2.03,8,1024,2.7,Core i7,15.6,Intel,Windows 10 Home,DDR4,60990.0
HP,1.59,8,1,1.6,Core i5,14,Intel,Windows 10 Home,DDR4,64490.0
Lenovo,1.8,8,1,3.90,Core i5,15.6,Intel,Windows 10 Home,DDR4,59700.0
Lenovo,2.2,8,1024,3.90,Core i5,15.6,Intel,DOS,DDR4,37990.0
Lenovo,1.85,8,1024,3.90,Core i5,15.6,Intel,DOS,DDR4,39990.0
Lenovo,1.8,4,1024,2.30,Core i3,15.6,Intel,Windows 10 Home,DDR4,34490.0
Lenovo,1.85,8,1024,3.90,Core i5,15.6,Intel,Windows 10 Home,DDR4,45490.0
Lenovo,2.2,4,1,2.30,Core i3,15.6,Intel,Windows 10 Home,DDR4,35990.0
Lenovo,1.85,8,1024,3.90,Core i5,15.6,Intel,DOS,DDR4,40990.0
Lenovo,2.2,4,1024,3.40,Core i5 8250U,15.6,Intel,Windows 10,DDR4,40990.0
Lenovo,1.7,4,1024,3.40,Core i3,14,Intel,Windows 10 Home,DDR4,35556.0
Lenovo,2.2,4,1024,2.30,Core i3,15.6,Intel,Windows 10 Home,DDR4,37686.0
Lenovo,1.7,4,1024,2.20,Core i3 8130U,14,Intel,Windows 10,DDR4,41990.0
Lenovo,2.2,8,2,3.40,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,57509.0
Lenovo,1.55,4,1,2.50,Core i5,14,Intel,DOS,DDR4,35564.2
Lenovo,2.2,8,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,DDR4,43982.0
Lenovo,1.8,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,46994.0
Lenovo,2.2,8,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,53968.0
Lenovo,2.2,8,1024,3.90,Core i5,15.6,Intel,Windows 10 Home,DDR4,46197.0
Lenovo,2.2,8,2,1.60,Core i5 8250U,15.6,Intel,DOS,DDR4,43999.0
Lenovo,2.2,8,1024,1.60,Core i5 8250U,15.6,Intel,DOS,DDR4,44999.0
Lenovo,1.55,8,1024,1.60,Core i5,14,Intel,Windows 10 Home,DDR4,51200.0
Lenovo,1.8,4,1,2.30,Core i3,14,Intel,DOS,DDR4,34900.0
Lenovo,1.7,4,1024,2.20,Core i3 8130U,14,Intel,Windows 10 Home,DDR4,41761.0
Lenovo,1.7,4,1024,2.30,Core i3 8130U,14,Intel,Windows 10 Home,DDR4,42491.0
Lenovo,1.8,8,512,3.90,Core i5,15.6,Intel,Windows 10 Home,DDR4,58000.0
Lenovo,1.69,8,512,3.40,Core i5 8250U,15.6,Intel,Windows 10,DDR4,62990.0
Lenovo,2.2,8,2,1.60,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,52905.0
Lenovo,2.2,4,2,3.1,Core i5,15.6,Intel,Windows 10,DDR4,49990.0
Lenovo,2.2,4,1024,2.20,Core i3,15.6,Intel,Windows 10 Home India App,DDR4,35990.0
Lenovo,1.74,8,1024,3.1,Core i5,14,Intel,Windows 10,DDR4,63400.0
Lenovo,2.1,8,1024,3.40,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,48718.0
Lenovo,1.7,8,1024,1.60,Core i5 8250U,14,Intel,Windows 10 Home,DDR4,52989.0
Lenovo,2.4,8,1,2.5,Core i7,15.6,Intel,Windows 10,DDR3L,45999.0
Lenovo,1.67,8,1024,1.60,Core i5 8250U,14,Intel,Windows 10,DDR4,55000.0
Lenovo,3.2,16,1024,2.50,Core i5,15.6,Intel,Windows 10,DDR4,56990.0
Lenovo,2.2,8,1,4,Core i5 8300H,15.6,Intel,Windows 10,DDR4,47990.0
Dell,2.5,8,1024,2.3,Core i5,15.6,Intel,Windows 10,DDR4,64248.0
Dell,2.13,4,1024,1.60,Core i5,15.6,Intel,Windows 10,DDR4,40990.0
Dell,2.5,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,DDR4,43899.0
Dell,1.62,8,1024,3.40,Core i5,13.3,Intel,Windows 10,DDR4,63000.0
Dell,2.5,8,1024,1.6,Core i5 8250U,15.6,Intel,Windows 10,DDR4,49900.0
Dell,2.74,4,1024,1.60,Core i3,14,Intel,Windows 10,DDR4,53220.0
Dell,2.5,16,2,3,Core i5,15.6,Intel,Windows 10 Home,DDR4,49658.0
Dell,2.5,4,1,2.5,Core i5,15.6,Intel,DOS,DDR4,43500.0
Dell,1.62,8,1024,2.40,Core i3,13.3,Intel,Windows 10 Home,DDR4,44850.0
Dell,2.5,16,2,3,Core i5,15.6,Intel,Windows 10 Home,DDR4,56994.0
Dell,1.62,4,1,2.40,Core i3,13.3,Intel,Windows 10 Home,DDR4,39000.0
Dell,2.2,4,1024,1.60,Core i5,15.6,Intel,Windows 10,DDR4,51099.0
Dell,3.5,4,1,3.1,Core i5,15.6,Intel,Windows 10 Home,DDR4,42990.0
Dell,4,4,1,2.4,Core i3,13.3,Intel,Windows 10,DDR3,34990.0
Dell,,8,1,2.8,Core i5 6200U,15.6,Intel,Windows 10 Home,DDR4,52990.0
Dell,2.5,16,1024,3,Core i3,15.6,Intel,Windows 10 Home,DDR4,42980.0
Dell,1.68,8,1,1.60,Core i5 8250U,13.3,Intel,Windows 10,DDR4,56990.0
Dell,3.4,8,1024,3.10,Core i5,15.6,Intel,Linux,DDR4,48990.0
Dell,2,8,1,3.1,Core i5,15.6,Intel,Windows 10 Home,DDR4,51990.0
Dell,2.4,4,1,2.3,Core i3,13.3,Intel,Windows 10 Home,DDR4,36590.0
Asus,1.68,8,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,DDR4,43990.0
Asus,1.7,8,1024,4,Core i7,15.6,Intel,Windows 10,DDR4,64489.0
Asus,1.68,8,1024,2,Core i3,15.6,Intel,Windows 10,DDR4,35199.0
Asus,2.3,4,1024,2.3,Core i5 8300H,15.6,Intel,Windows 10,DDR4,57990.0
Asus,1.55,8,256,1.60,Core i5 8250U,14,Intel,Windows 10,DDR4,45990.0
Asus,1.55,8,256,1.60,Core i5 8250U,14,Intel,Windows 10,DDR4,45990.00
